Occ,Risk,income,number
Business and related associate professionals n.e.c.,4.5,14.78,184000
Buyers and procurement officers,4,15.41,59000
Business sales executives,5.6,15.2,131000
Marketing associate professionals,2.3,14.27,203000
Estate agents and auctioneers,4,11.69,53000
Sales accounts and business development managers,5.3,22.43,451000
Conference and exhibition managers and organisers,0,12,63000
Conservation and environmental associate professionals,15,11.2,11000
Public services associate professionals,18,16.79,93000
Human resources and industrial relations officers,14.7,14.37,160000
Vocational and industrial trainers and instructors,2,14.98,155000
Careers advisers and vocational guidance specialists,14.7,13.51,33000
Inspectors of standards and regulations,18,15.6,45000
Health and safety officers,13.8,17.34,60000
National government administrative occupations,29.1,12.27,141000
Local government administrative occupations,19,12.75,143000
Officers of non-governmental organisations,19,13.17,38000
Credit controllers,6.3,11.91,35000
"Book-keepers, payroll managers and wages clerks",11,12.52,428000
Bank and post office clerks,25.5,11.33,97000
Finance officers,11,13.68,36000
Financial administrative occupations n.e.c.,25.5,11.16,161000
Records clerks and assistants,30,11.22,110000
Pensions and insurance clerks and assistants,5.3,11.64,63000
Stock control clerks and assistants,9.7,10.72,87000
Transport and distribution clerks and assistants,9,11.87,60000
Library clerks and assistants,25,10.36,24000
Human resources administrative occupations,14,10.94,29000
Sales administrators,10,10.77,75000
Other administrative occupations n.e.c.,3,11.13,740000
Office managers,9,15.55,178000
Office supervisors,9,12.73,35000
Medical secretaries,37,11.56,64000
Legal secretaries,0,11.28,39000
School secretaries,10.5,10.17,72000
Company secretaries,5.5,11.51,30000
Personal assistants and other secretaries,10.5,12.24,173000
Receptionists,31,9.27,237000
Typists and related keyboard occupations,11,10.2,36000
Farmers,17.2,10.97,125000
Horticultural trades,6,8.85,17000
Gardeners and landscape gardeners,6,10.24,172000
Groundsmen and greenkeepers,6,9.93,31000
Agricultural and fishing trades n.e.c.,9.8,10.6,33000
Smiths and forge workers,1,10.2,4000
"Moulders, core makers and die casters",5.5,11.06,2000
Sheet metal workers,12.7,12.28,16000
"Metal plate workers, and riveters",9.7,13.54,6000
Welding trades,0.3,12.11,61000
Pipe fitters,38.3,15.98,5000
Metal machining setters and setter-operators,4.5,12.8,53000
"Tool makers, tool fitters and markers-out",6.8,13.68,13000
Metal working production and maintenance fitters,15.4,14.37,223000
Precision instrument makers and repairers,13.3,12.24,22000
Air-conditioning and refrigeration engineers,17.7,13.54,16000
"Vehicle technicians, mechanics and electricians",10,12.44,178000
Vehicle body builders and repairers,11.3,12.25,24000
Vehicle paint technicians,8,12.21,13000
Aircraft maintenance and related trades,11.5,18.98,29000
Boat and ship builders and repairers,15.4,12.76,15000
Rail and rolling stock builders and repairers,15.4,18.7,10000
Electricians and electrical fitters,6.5,15.04,259000
Telecommunications engineers,4.5,16.58,60000
"TV, video and audio engineers",6,15.02,8000
IT engineers,14.8,15.04,37000
Electrical and electronic trades n.e.c.,6,15.31,79000
"Skilled metal, electrical and electronic trades supervisors",1,16.02,40000
Steel erectors,9.7,11.96,7000
Bricklayers and masons,12.5,13.19,78000
"Roofers, roof tilers and slaters",4,11.84,50000
Plumbers and heating and ventilating engineers,38.3,14.66,186000
Carpenters and joiners,9,12.93,221000
"Glaziers, window fabricators and fitters",18,10,40000
Construction and building trades n.e.c.,4,12.03,252000
Plasterers,7,13.39,48000
Floorers and wall tilers,8.8,11.5,32000
Painters and decorators,7.5,11.64,132000
Construction and building trades supervisors,7,16,65000
Weavers and knitters,3,10.33,3000
Upholsterers,2,11.4,13000
Footwear and leather working trades,3,10.1,5000
Tailors and dressmakers,12,8.21,13000
"Textiles, garments and related trades n.e.c.",10,9.49,15000
Pre-press technicians,1,11,3000
Printers,0,12.08,29000
